AGT_CHANNEL,AGT_STATUS,AGT_CD
AGENCY,INFORCE,516
AGENCY,INFORCE,517
AGENCY,INFORCE,518
AGENCY,INFORCE,519
AGENCY,INFORCE,520
AGENCY,TERMINATED,521
AGENCY,INFORCE,522
AGENCY,TERMINATED,523
AGENCY,INFORCE,524
AGENCY,INFORCE,525
AGENCY,INFORCE,526
AGENCY,INFORCE,527
BANCA,TERMINATED,528
AGENCY,INFORCE,529
AGENCY,TERMINATED,530
AGENCY,INFORCE,531
AGENCY,TERMINATED,532
AGENCY,INFORCE,533
AGENCY,INFORCE,534
IFA,INFORCE,535
AGENCY,INFORCE,536
AGENCY,TERMINATED,537
BANCA,INFORCE,538
AGENCY,INFORCE,539
BANCA,INFORCE,540
AGENCY,TERMINATED,541
AGENCY,SUSPENDED,542
BANCA,INFORCE,543
AGENCY,INFORCE,544
AGENCY,TERMINATED,545
AGENCY,TERMINATED,546
AGENCY,INFORCE,547
AGENCY,INFORCE,548
AGENCY,INFORCE,549
AGENCY,TERMINATED,550
AGENCY,TERMINATED,551
AGENCY,INFORCE,552
IFA,INFORCE,553
BANCA,INFORCE,554
AGENCY,INFORCE,555
AGENCY,INFORCE,556
AGENCY,TERMINATED,557
IFA,INFORCE,558
AGENCY,INFORCE,559
AGENCY,INFORCE,560
BANCA,INFORCE,561
AGENCY,TERMINATED,562
IFA,INFORCE,563
AGENCY,TERMINATED,564
AGENCY,INFORCE,565
AGENCY,TERMINATED,566
AGENCY,INFORCE,567
AGENCY,INFORCE,568
BANCA,INFORCE,569
AGENCY,INFORCE,570
AGENCY,INFORCE,571
IFA,INFORCE,572
AGENCY,TERMINATED,573
AGENCY,TERMINATED,574
AGENCY,TERMINATED,575
AGENCY,TERMINATED,576
AGENCY,TERMINATED,577
AGENCY,INFORCE,578
AGENCY,INFORCE,579
AGENCY,INFORCE,580
AGENCY,INFORCE,581
BANCA,INFORCE,582
AGENCY,INFORCE,583
BANCA,INFORCE,584
AGENCY,INFORCE,585
AGENCY,INFORCE,586
AGENCY,INFORCE,587
AGENCY,INFORCE,588
AGENCY,INFORCE,589
AGENCY,INFORCE,590
AGENCY,INFORCE,591
AGENCY,INFORCE,592
AGENCY,TERMINATED,593
AGENCY,INFORCE,594
AGENCY,INFORCE,595
AGENCY,INFORCE,596
AGENCY,TERMINATED,597
AGENCY,INFORCE,598
AGENCY,INFORCE,599
AGENCY,INFORCE,600
AGENCY,INFORCE,601
AGENCY,INFORCE,602
AGENCY,INFORCE,603
AGENCY,INFORCE,604
AGENCY,INFORCE,605
AGENCY,INFORCE,606
AGENCY,INFORCE,607
AGENCY,INFORCE,608
AGENCY,INFORCE,609
AGENCY,INFORCE,610
AGENCY,TERMINATED,611
AGENCY,INFORCE,612
AGENCY,INFORCE,613
AGENCY,INFORCE,614
AGENCY,INFORCE,615
AGENCY,INFORCE,616
AGENCY,INFORCE,617
AGENCY,INFORCE,618
AGENCY,INFORCE,619
AGENCY,INFORCE,620
AGENCY,INFORCE,621
AGENCY,TERMINATED,622
AGENCY,INFORCE,623
AGENCY,INFORCE,624
AGENCY,INFORCE,625
AGENCY,INFORCE,626
AGENCY,INFORCE,627
AGENCY,INFORCE,628
AGENCY,INFORCE,629
AGENCY,INFORCE,630
AGENCY,TERMINATED,631
BANCA,INFORCE,632
AGENCY,INFORCE,633
AGENCY,INFORCE,634
BANCA,INFORCE,635
AGENCY,INFORCE,636
AGENCY,INFORCE,637
AGENCY,INFORCE,638
AGENCY,INFORCE,639
BANCA,INFORCE,640
AGENCY,INFORCE,641
AGENCY,INFORCE,642
AGENCY,INFORCE,643
AGENCY,INFORCE,644
AGENCY,INFORCE,645
AGENCY,INFORCE,646
AGENCY,INFORCE,647
AGENCY,TERMINATED,648
AGENCY,INFORCE,649
BANCA,INFORCE,650
AGENCY,TERMINATED,651
AGENCY,INFORCE,652
